Subject,Question,Option A,Option B,Option C,Option D,Answer
Mathematics,What is log₁₀(1000)?,1,2,3,4,C
Mathematics,Express 63,200 in standard form.,6.32 × 10³,6.32 × 10⁴,63.2 × 10³,0.632 × 10⁵,B
Mathematics,The logarithm of 100 is equal to?,0,1,2,10,C
Mathematics,The integer part of log₁₀(745) is?,1,2,3,0,B
Mathematics,In standard form 0.00056 equals?,5.6 × 10⁻³,5.6 × 10⁻⁴,5.6 × 10⁻⁵,0.56 × 10⁻³,B
Mathematics,The antilogarithm of 2.3010 is approximately?,10,100,200,1000,B
Mathematics,Express 8,300,000 in standard form.,8.3 × 10⁶,8.3 × 10⁷,83 × 10⁵,8.03 × 10⁷,A
Mathematics,Find the logarithm of 0.03.,–1.5229,–1.4771,–0.4771,1.4771,B
Mathematics,What is log₁₀(1)?,0,1,10,Undefined,A
Mathematics,Using the laws of logarithm log(ab) = ?,log(a) ÷ log(b),log(a) + log(b),log(a) – log(b),log(a × b),B
Mathematics,Which of the following represents the sum of logs correctly?,log(a × b) = log a + log b,log(a × b) = log a – log b,log(a × b) = log a × log b,log(a × b) = log(a ÷ b),A
Mathematics,If log₁₀(2) = 0.3010 find log₁₀(200).,1.3010,2.3010,3.3010,0.3010,B
Mathematics,The logarithm of a number less than one is always?,Positive,Zero,Negative,Undefined,C
Mathematics,0.00037 in standard form is?,3.7 × 10⁻⁴,3.7 × 10⁻⁵,37 × 10⁻⁴,0.037 × 10⁻²,A
Mathematics,Evaluate (4.72 × 10³) + (3.648 × 10³) in standard form.,8.368 × 10³,8.368 × 10⁴,7.348 × 10³,4.732 × 10³,A
Mathematics,What is the characteristic of log₁₀(0.025)?,–1,–2,0,1,B
Mathematics,The error in a measurement of 7.5 L to one decimal place is?,0.01,0.05,0.1,0.005,B
Mathematics,If a length of 2.8 m is measured to 2 s.f. find its percentage error.,0.5%,1.79%,1.0%,2.5%,B
Mathematics,When a number is measured to the nearest ten the error limit is?,±1,±5,±0.5,±10,B
Mathematics,A student measured the mass of an object as 62 kg to 2 s.f. The error is approximately?,±0.05 kg,±0.5 kg,±1.0 kg,±5.0 kg,B
Mathematics,A length of 500 m measured to the nearest 10 m has percentage error?,0.5%,0.1%,1%,5%,C
Mathematics,When a value is approximated to 1 decimal place the range is accurate to how many decimal places?,1,2,3,0,B
Mathematics,The range of 39.8 to 1 d.p is?,39.75 – 39.85,39.70 – 39.80,39.80 – 39.90,39.74 – 39.84,A
Mathematics,If the true value of a rod is 9.43 m and it was measured as 9.20 m find the percentage error.,2.44%,2.5%,1.9%,3.0%,A
Mathematics,The logarithm of 0.004 is approximately?,3.6021,3.3979,–2.3979,–3.3979,D
Mathematics,8750000 × 8900 ÷ 300.5 in standard form equals approximately?,2.59 × 10⁵,2.59 × 10⁶,2.59 × 10⁷,2.59 × 10⁸,C
Mathematics,The logarithmic expression log₁₀(aⁿ) = ?,n log₁₀(a),log₁₀(a)ⁿ,log₁₀(a + n),log₁₀(a/n),A
Mathematics,Which of these represents an error in measurement to 2 s.f. for 400 m?,±0.5 m,±5 m,±50 m,±100 m,B
Mathematics,Find the percentage error if a student measured 0.375 as 0.4.,6.7%,5%,7%,0.67%,A
Mathematics,In the number 4.83 × 10⁰ the value of the integer part of the logarithm is?,1,0,2,–1,B
Mathematics,The product of 4627 and 29.3 using logarithms is approximately?,13560,135600,135000,13600,B
Mathematics,0.037 can be expressed as 3.7 × 10⁻². Its logarithm is approximately?,1.5682,–1.5682,2.5682,–2.5682,D
Mathematics,Evaluate 7.113 × 10⁻⁵ – 8.13 × 10⁻⁶ in standard form.,6.3 × 10⁻⁵,5.3 × 10⁻⁵,6.0 × 10⁻⁶,6.3 × 10⁻⁶,A
Mathematics,The standard form of 0.005321 is?,5.321 × 10⁻³,5.321 × 10⁻⁴,0.5321 × 10⁻²,53.21 × 10⁻⁵,A
Mathematics,Evaluate √(3.6 × 10⁻³ ÷ 4 × 10⁻⁸) in standard form.,3 × 10²,3 × 10³,3 × 10⁴,3 × 10¹,A
Mathematics,The logarithm of 0.000197 is?,–3.2945,–4.2945,–2.2945,–1.2945,B
Mathematics,What is the reciprocal of 0.25 in standard form?,2 × 10⁰,4 × 10⁰,0.4 × 10¹,0.25 × 10²,B
Mathematics,A measurement is 6000 to the nearest hundred. Find its range.,5900 – 6100,5950 – 6050,5995 – 6005,5500 – 6500,B
Mathematics,A student found the weight of sugar as 8.0 g instead of 8.2 g. The percentage error is?,2.5%,2%,1.25%,0.5%,A
Mathematics,The logarithmic rule log(a/b) equals?,log a + log b,log a – log b,log a × log b,log a ÷ log b,B
Mathematics,Which of the following numbers has the highest logarithm?,10,100,0.1,0.001,B
Mathematics,Express 0.853 in logarithmic form.,2.9309,1.9309,–1.9309,–2.9309,D
Mathematics,Find log₁₀(7) correct to 4 decimal places.,0.8451,0.9031,0.7782,0.9542,A
Mathematics,Find antilog(3.8226).,0.06646,0.006646,66.46,0.6646,C
Mathematics,A number 2.5 × 10⁻³ + 3.2 × 10⁻² equals?,3.45 × 10⁻²,3.45 × 10⁻³,3.45 × 10⁻⁴,5.45 × 10⁻³,A
Mathematics,If the actual value is 2.8 and the measured value is 2.75 find the error.,+0.05,–0.05,±0.05,0.5,C
Mathematics,What is the meaning of “mantissa” in logarithm?,Fractional part of log,Whole part of log,Base number,Antilog value,A
Mathematics,If log(2) = 0.3010 find log(8).,0.9030,0.9031,0.6020,0.3010,B
Mathematics,In 10⁻² = 0.01 the –2 is called?,Coefficient,Mantissa,Characteristic,Base,C
Mathematics,Evaluate (0.1684)³ using logarithm tables (approx.).,0.005,0.0048,0.0057,0.0059,C
Mathematics,Find log₁₀(5) correct to 4 decimal places.,0.6989,0.6990,0.7000,0.6899,A
Mathematics,If log₁₀(3)=0.4771, find log₁₀(30).,0.4771,1.4771,2.4771,3.4771,B
Mathematics,Simplify log₁₀(50) – log₁₀(2).,1.3979,1.3010,1.0000,1.2041,B
Mathematics,If log₁₀(7)=0.8451 and log₁₀(2)=0.3010 find log₁₀(14).,1.1461,1.2451,1.1462,1.2461,A
