Subject,Question,Option A,Option B,Option C,Option D,Answer,Cluster
Chemistry,What type of hydrocarbons consist of carbon chains with only single bonds?,Alkenes,Alkynes,Alkanes,Aromatics,C,6
Chemistry,Which of the following is the general molecular formula for alkanes?,CnH2n,CnH2n-2,CnH2n+2,CnH2n-6,C,6
Chemistry,How is methane primarily prepared in the laboratory?,Heating ethanol with H2SO4,Heating ethanoate salt with alkali,Reacting ethene with water,Dehydration of ethanol,B,0
Chemistry,Which of these is a use of methane?,Making plastics,As a fuel,Producing ethanol,Ripening fruits,B,0
Chemistry,What term describes compounds with the same molecular formula but different structural arrangements?,Isotopes,Allotropes,Isomers,Polymers,C,6
Chemistry,Which type of isomerism occurs due to different arrangements of the carbon chain?,Functional isomerism,Positional isomerism,Chain isomerism,Stereo isomerism,C,6
Chemistry,What is the IUPAC name for CH3CHClCH2OH?,1-chloropropan-2-ol,2-chloropropan-1-ol,Chloroethanol,Propan-2-chloro-ol,A,6
Chemistry,Which of these compounds exhibits geometric isomerism?,Methane,Ethane,But-2-ene,Propanol,C,6
Chemistry,What are unsaturated hydrocarbons characterized by?,Single bonds only,Multiple bonds between carbon atoms,Ring structures,Containing oxygen,B,0
Chemistry,How is ethene commonly prepared in the laboratory?,Heating calcium carbide with water,Heating ethanol with concentrated H2SO4,Reacting ethane with chlorine,Fermentation of sugar,B,7
Chemistry,What happens when ethene reacts with acidified potassium permanganate?,It turns green,It turns purple,It decolorizes,It produces a black precipitate,C,2
Chemistry,Which reaction involves ethene adding a water molecule to form ethanol?,Halogenation,Hydration,Hydrogenation,Polymerization,B,4
Chemistry,What is a major industrial use of ethene?,Making soap,Manufacturing plastics,Producing ammonia,As a solvent,B,3
Chemistry,Which homologous series has the general formula CnH2n-2?,Alkanes,Alkenes,Alkynes,Aromatics,C,6
Chemistry,How is ethyne typically prepared in the laboratory?,Dehydration of ethanol,Heating sodium ethanoate,Action of water on calcium carbide,Cracking of propane,C,7
Chemistry,What type of flame does ethyne produce in plenty of air?,Smoky and luminous,Non-luminous and very hot,Colorless and odorless,No flame,B,0
Chemistry,Which reagent is used to distinguish alkynes from alkenes?,Bromine water,Acidified KMnO4,Ammoniacal CuCl,Litmus paper,C,6
Chemistry,What is a common use of ethyne?,Making margarine,As an anesthetic,Producing oxyacetylene flame for welding,Manufacturing soap,C,7
Chemistry,What is the molecular formula of benzene?,C6H6,C6H12,C6H10,C6H14,A,6
Chemistry,Which of these is a method for preparing benzene?,Fermentation of sugar,From coal tar,Electrolysis of brine,Heating ethanol,B,7
Chemistry,What type of reaction does benzene primarily undergo?,Addition,Substitution,Polymerization,Hydrolysis,B,4
Chemistry,Which derivative of benzene is also known as toluene?,Nitrobenzene,Phenol,Methyl benzene,Chlorobenzene,C,6
Chemistry,What is a common use of benzene?,As a food preservative,As a solvent,In making soaps,As a fuel additive,B,7
Chemistry,What is the functional group in alkanols?,Carboxyl group,Carbonyl group,Hydroxyl group,Amino group,C,6
Chemistry,Which class of alkanol has the hydroxyl group attached to a carbon with only one alkyl group?,Primary,Secondary,Tertiary,Polyhydric,A,6
Chemistry,What is the industrial process of producing ethanol from sugar called?,Cracking,Distillation,Fermentation,Polymerization,C,4
Chemistry,Which enzyme converts glucose to ethanol and carbon dioxide?,Maltase,Diastase,Zymase,Invertase,C,4
Chemistry,What is observed when a primary alkanol is oxidized with acidified K2Cr2O7?,It turns purple,It turns from orange to green,It turns blue,It turns red,B,2
Chemistry,What is the general molecular formula for alkanoic acids?,CnH2nO2,RCOOH,CnH2n+1COOH,ROH,B,6
Chemistry,How can ethanoic acid be prepared from ethanol?,Dehydration,Distillation,Oxidation,Fermentation,C,4
Chemistry,What is the common name for ethanoic acid when it is pure and frozen?,Glacial acetic acid,Formic acid,Acetone,Vinegar,A,2
Chemistry,Which of these is a chemical property of ethanoic acid?,It turns blue litmus red,It has a pungent smell,It is soluble in water,It liberates CO2 from carbonates,D,2
Chemistry,What is formed when an alkanoic acid reacts with an alkanol?,A salt,An ester,An alkene,An amine,B,2
Chemistry,What is the general structure of an ester?,ROR',RCOOH,RCOOR',RNH2,C,6
Chemistry,Which process describes the hydrolysis of fats and oils with alkali?,Esterification,Hydrogenation,Saponification,Polymerization,C,4
Chemistry,What are the two main parts of a soap molecule?,Acidic and basic parts,Hydrophobic and hydrophilic parts,Reducing and oxidizing parts,Saturated and unsaturated parts,B,7
Chemistry,Which of the following is a soapless detergent?,Sodium stearate,Alkylbenzene sulphonate,Potassium palmitate,Glycerol,B,7
Chemistry,What is a polymer?,A small molecule,A giant molecule made of repeating units,A type of salt,A single atom,B,7
Chemistry,Which type of polymerization involves the elimination of a small molecule like water?,Addition polymerization,Condensation polymerization,Chain polymerization,Substitution polymerization,B,7
Chemistry,What is the monomer unit in polythene?,Ethene,Ethyne,Propene,Styrene,A,7
Chemistry,Which of these is a thermosetting plastic?,Polythene,Nylon,Bakelite,Perspex,C,7
Chemistry,What is the process of heating natural rubber with sulphur called?,Polymerization,Vulcanization,Hydrogenation,Saponification,B,7
Chemistry,What is the general formula for carbohydrates?,Cn(H2O)n,CnH2nO2,CnH2n+2O,CnH2nO,A,6
Chemistry,Which of these is a monosaccharide?,Sucrose,Lactose,Maltose,Glucose,D,6
Chemistry,How is glucose commonly tested for in the laboratory?,With bromine water,With Fehling's solution,With litmus paper,With silver nitrate,B,7
Chemistry,What are the products of hydrolysis of sucrose?,Glucose and galactose,Glucose and fructose,Fructose and galactose,Glucose only,B,4
Chemistry,Which of these is a polysaccharide?,Glucose,Fructose,Starch,Sucrose,C,7
Chemistry,What are the monomer units of proteins?,Fatty acids,Monosaccharides,Amino acids,Nucleotides,C,6
Chemistry,Which test gives a violet colour with proteins?,Fehling's test,Benedict's test,Biuret test,Seliwanoff's test,C,7
Chemistry,What functional groups are present in an amino acid?,Amino and carbonyl,Amino and carboxyl,Hydroxyl and carboxyl,Hydroxyl and carbonyl,B,6
Chemistry,What is the general formula for a primary amine?,RNH2,R2NH,R3N,RNH3+,A,6
Chemistry,How are amides commonly prepared?,From alkanes,From esters and ammonia,From alkenes,From amines,B,7
Chemistry,What is the common name for carbamide?,Urea,Ammonia,Ethanamide,Methylamine,A,6
Chemistry,What is the primary product when ethanol undergoes complete combustion?,Carbon monoxide and water,Carbon dioxide and water,Methane and oxygen,Ethene and steam,B,4
Chemistry,Which type of alkanol is resistant to oxidation under normal conditions?,Primary alkanol,Secondary alkanol,Tertiary alkanol,Dihydric alkanol,C,7
