Subject,Cluster,Question,Option A,Option B,Option C,Option D,Answer
English,0,Which of these is a formal letter closing?,Yours faithfully,Cheers,Later,Bye,A
English,0,What is a synonym for 'Vibrant'?,Energetic,Dull,Lazy,Slow,A
Mathematics,0,Solve for x: x^2 - 4 = 0,2 or -2,4,0,1,A
Physics,0,Which law relates pressure and volume of a gas?,Boyles Law,Charles Law,Newton Law,Ohms Law,A
Chemistry,0,What is the main component of coal?,Carbon,Oxygen,Hydrogen,Nitrogen,A
English,1,Simplify the sentence: 'He is a person who is very tall.',He is very tall.,He tall.,Tall he is.,Person tall.,A
Mathematics,1,Simplify: 2x + 3x,5x,6x,x,5,A
Physics,1,What is the SI unit of force?,Newton,Joule,Watt,Volt,A
Chemistry,1,Which oxide is formed when carbon burns in limited oxygen?,Carbon monoxide,Carbon dioxide,Carbon trioxide,Carbonate,A
English,2,What is a synonym for 'Happy'?,Joyful,Sad,Angry,Bored,A
Mathematics,2,What is the difference between 10 and 4?,6,14,40,2,A
Physics,2,What is the SI unit of length?,Meter,Gram,Second,Kelvin,A
Chemistry,2,What is the pH of a strong acid?,1,7,14,10,A
English,3,What is the main purpose of an essay summary?,To condense main points,To add more detail,To change the topic,To introduce new characters,A
Mathematics,3,What is 5 + 5?,10,15,20,25,A
Physics,3,What is the unit of energy?,Joule,Watt,Volt,Ampere,A
Chemistry,3,What is the Haber process used for?,Ammonia production,Sulfuric acid,Nitric acid,Steel,A
English,4,What does 'piece of cake' mean?,Very easy,A dessert,Hard work,Hungry,A
Mathematics,4,What is the next term in the sequence 2 4 8...?,16,10,12,14,A
Physics,4,What happens to gas volume when pressure increases at constant temp?,Decreases,Increases,Stays same,Explodes,A
Chemistry,4,What is the chemical symbol for Gold?,Au,Ag,Fe,Pb,A
English,5,What is a synonym for 'Meticulous'?,Precise,Careless,Fast,Happy,A
Mathematics,5,Solve: 2x = 10,5,2,10,20,A
Physics,5,What is the unit of electric current?,Ampere,Volt,Ohm,Watt,A
Chemistry,5,What is table salt?,Sodium Chloride,Sodium Carbonate,Calcium Chloride,Potassium Chloride,A
English,6,What does 'break a leg' mean?,Good luck,Injury,Dance,Run,A
Mathematics,6,What is log10(100)?,2,1,10,100,A
Physics,6,What is the unit of heat?,Joule,Watt,Degree,Volt,A
Chemistry,6,What is the symbol for Oxygen?,O,Ox,Oy,Oz,A
English,7,What is the antonym of 'Hot'?,Cold,Warm,Burning,Spicy,A
Mathematics,7,What is the area of a square with side 4?,16,8,4,12,A
Physics,7,What is the speed of light approx?,3x10^8 m/s,300 m/s,1000 m/s,Infinite,A
Chemistry,7,What is H2O?,Water,Hydrogen,Oxygen,Acid,A
English,8,Which word best fits: 'The ___ of the cake was delicious.',Taste,Smell,Color,Height,A
Mathematics,8,What is the probability of flipping heads?,0.5,1,0,0.25,A
Physics,8,What is the unit of power?,Watt,Joule,Volt,Ampere,A
Chemistry,8,What is the charge of a proton?,Positive,Negative,Neutral,None,A
